work_id,tag,source
70d3b412-af99-3d38-b7a1-ed7a415aaa13,classical,musicbrainz
70d3b412-af99-3d38-b7a1-ed7a415aaa13,opera,musicbrainz
d1f29591-4ce1-3853-997b-4572297181c2,classical,musicbrainz
d1f29591-4ce1-3853-997b-4572297181c2,opera,musicbrainz
e970ccdd-e216-41a4-96ed-a8af54b49026,classical,musicbrainz
e970ccdd-e216-41a4-96ed-a8af54b49026,opera,musicbrainz
b8b1b4de-f425-37fa-baf9-3fa8f1f99c51,classical,musicbrainz
b8b1b4de-f425-37fa-baf9-3fa8f1f99c51,opera,musicbrainz
8f94499a-f142-4c63-bae5-bf4f2ac9d343,classical,musicbrainz
8f94499a-f142-4c63-bae5-bf4f2ac9d343,opera,musicbrainz
01f06174-d783-4e76-b687-14ff3d3804a7,classical,musicbrainz
80021db3-af4c-4ef9-8ce8-e96fc25f102b,classical,musicbrainz
dcff25f1-702d-3b5e-b0da-d48172e6e62a,baroque,musicbrainz
dcff25f1-702d-3b5e-b0da-d48172e6e62a,baroque era,musicbrainz
dcff25f1-702d-3b5e-b0da-d48172e6e62a,canadian,musicbrainz
dcff25f1-702d-3b5e-b0da-d48172e6e62a,classical,musicbrainz
dcff25f1-702d-3b5e-b0da-d48172e6e62a,classical music,musicbrainz
dcff25f1-702d-3b5e-b0da-d48172e6e62a,piano,musicbrainz
dcff25f1-702d-3b5e-b0da-d48172e6e62a,theme and variations,musicbrainz
c191486d-6824-45ed-b650-3b12d4f9c512,baroque,musicbrainz
c191486d-6824-45ed-b650-3b12d4f9c512,classical,musicbrainz
97f5bebc-9f06-4abd-b934-eb402b3f73a7,baroque,musicbrainz
97f5bebc-9f06-4abd-b934-eb402b3f73a7,classical,musicbrainz
0f23af79-5af7-481a-bb45-51154e8b608e,baroque,musicbrainz
0f23af79-5af7-481a-bb45-51154e8b608e,classical,musicbrainz
0f23af79-5af7-481a-bb45-51154e8b608e,concerto,musicbrainz
64bd0acc-09a9-483b-b0ed-0b5a96c66b58,baroque,musicbrainz
64bd0acc-09a9-483b-b0ed-0b5a96c66b58,classical,musicbrainz
23ab8c25-9100-4d91-8102-c4c9e5c92274,baroque,musicbrainz
23ab8c25-9100-4d91-8102-c4c9e5c92274,classical,musicbrainz
0a938519-b229-441d-a7ac-ab9cc2931f1f,classical,musicbrainz
cfcb84fe-ed10-4807-90c3-aa0d762fa09b,baroque,musicbrainz
cfcb84fe-ed10-4807-90c3-aa0d762fa09b,classical,musicbrainz
b0af607c-0bda-43fd-be80-ffe0ff140afa,baroque,musicbrainz
b0af607c-0bda-43fd-be80-ffe0ff140afa,classical,musicbrainz
3650f52d-5000-4a6e-91ce-f7e2fc442b55,baroque,musicbrainz
3650f52d-5000-4a6e-91ce-f7e2fc442b55,classical,musicbrainz
dbcbbe48-13b4-43f6-b91d-b2db336f5883,classical,musicbrainz
9008d9f3-4962-4abe-abb9-250b2680045d,classical,musicbrainz
03726e6c-0896-4549-87dc-6a269195c878,classical,musicbrainz
ddfcb100-d46e-444a-aa13-74880af9cd5e,classical,musicbrainz
99ec2bb9-a8c3-4e87-a223-f902037ae183,classical,musicbrainz
99ec2bb9-a8c3-4e87-a223-f902037ae183,opera,musicbrainz
0f5eab7a-538e-30b2-830c-748054daaa62,classical,musicbrainz
0f5eab7a-538e-30b2-830c-748054daaa62,opera,musicbrainz
7f4dfc17-5b21-4a3b-8556-9a04aeb71091,classical,musicbrainz
7f4dfc17-5b21-4a3b-8556-9a04aeb71091,opera,musicbrainz
1631fa94-34e3-3ab5-a20b-60fd9f29ec77,classical,musicbrainz
1631fa94-34e3-3ab5-a20b-60fd9f29ec77,opera,musicbrainz
2b5bbaf8-d7e1-490a-9e52-8fd4e8b180a2,classical,musicbrainz
2b5bbaf8-d7e1-490a-9e52-8fd4e8b180a2,opera,musicbrainz
3dd85bde-6fbe-4d47-9dd7-6c56476969fe,classical,musicbrainz
3dd85bde-6fbe-4d47-9dd7-6c56476969fe,opera,musicbrainz
e79ec019-7ad3-4671-b64e-6cc951f0cbe2,classical,musicbrainz
e79ec019-7ad3-4671-b64e-6cc951f0cbe2,symphony,musicbrainz
3871cdec-d9ec-409f-8f42-94cd8b781f9d,classical,musicbrainz
9103493c-9a24-41a6-a47a-db0d7db8bcce,classical,musicbrainz
695cac6e-83b5-4224-a6a5-401469b6c9d1,classical,musicbrainz
7d86ed99-d103-4f47-b58d-7c4d07b4b0fd,classical,musicbrainz
51152cc5-7f60-4be6-b2fc-97b3463d4278,classical,musicbrainz
56b96703-52eb-4018-a021-222b64447a5b,classical,musicbrainz
da708610-6d62-4b7a-8567-889cb01a8e6c,classical,musicbrainz
1ff848cd-a656-4b4a-91b8-1ed783f75690,baroque,musicbrainz
1ff848cd-a656-4b4a-91b8-1ed783f75690,classical,musicbrainz
a9c22edd-bf54-3505-ab1f-f6afd8554777,classical,musicbrainz
a9c22edd-bf54-3505-ab1f-f6afd8554777,opera,musicbrainz
e1f2e320-2290-4abe-af4a-e1f66088ff81,classical,musicbrainz
e1f2e320-2290-4abe-af4a-e1f66088ff81,opera,musicbrainz
bc25bf30-cfd2-36bd-baa1-123a76339890,classical,musicbrainz
bc25bf30-cfd2-36bd-baa1-123a76339890,concerto,musicbrainz
28feace5-6959-47ce-a037-ed83dcf3c40f,classical,musicbrainz
28feace5-6959-47ce-a037-ed83dcf3c40f,concerto,musicbrainz
2179df55-6175-4fcf-885e-093ba0b9ce88,classical,musicbrainz
2179df55-6175-4fcf-885e-093ba0b9ce88,opera,musicbrainz
e8f93830-36ed-3a6c-b741-18b8c8911ad5,classical,musicbrainz
e8f93830-36ed-3a6c-b741-18b8c8911ad5,opera,musicbrainz
c7f31ac3-d344-3874-b0cc-73792c09eeff,classical,musicbrainz
c7f31ac3-d344-3874-b0cc-73792c09eeff,opera,musicbrainz
29f6a059-c0a5-4510-aad9-d25aae632903,classical,musicbrainz
29f6a059-c0a5-4510-aad9-d25aae632903,opera,musicbrainz
a0a4e94f-307c-4665-b13b-f97f269e0943,classical,musicbrainz
a0a4e94f-307c-4665-b13b-f97f269e0943,concerto,musicbrainz
a9704e80-5119-4936-8e63-c10c96c18711,classical,musicbrainz
a335d8ba-bb01-4e2e-89bc-c84220f8ed95,classical,musicbrainz
bc107c57-5801-4b0f-bd86-eb77357396c4,classical,musicbrainz
84dc4267-bc4f-4892-830a-5e18b930e04c,classical,musicbrainz
